Nb.grains;Enracinement;Parcelle
292.63917525773195;Faible;Nord
320;Moyen;Nord
290;Moyen;Nord
147;Faible;Nord
138;Très Fort;Nord
166;Moyen;Nord
151;Moyen;Nord
293;Faible;Nord
345;Moyen;Nord
234;Fort;Nord
142;Moyen;Nord
301;Moyen;Nord
311;Fort;Nord
273;Moyen;Nord
307;Moyen;Nord
303;Faible;Nord
156;Très Fort;Nord
278;Moyen;Sud
288;Faible;Sud
263;Fort;Sud
252;Moyen;Sud
276;Fort;Sud
283;Faible;Sud
271;Faible;Sud
296;Moyen;Sud
304;Moyen;Sud
287;Fort;Sud
262;Moyen;Sud
256;Fort;Sud
298;Fort;Sud
280;Faible;Sud
292.63917525773195;Très Fort;Est
294;Fort;Est
378;Fort;Est
139;Faible;Est
391;Très Fort;Est
339;Faible;Est
282;Moyen;Est
261;Faible;Est
467;Moyen;Est
337;Très Fort;Est
338;Très Fort;Est
332;Faible;Est
382;Très Fort;Est
331;Moyen;Est
272;Fort;Est
450;Très Fort;Est
152;Fort;Est
369;Moyen;Est
329;Moyen;Est
362;Fort;Est
132;Fort;Est
421;Faible;Est
341;Très Fort;Est
374;Faible;Est
144;Fort;Est
385;Très Fort;Est
425;Faible;Est
302;Fort;Est
403;Faible;Est
430;Fort;Est
361;Moyen;Est
416;Fort;Est
292.63917525773195;Très Fort;Ouest
449;Fort;Ouest
154;Fort;Ouest
220;Faible;Ouest
364;Très Fort;Ouest
328;Moyen;Ouest
342;Très Fort;Ouest
389;Fort;Ouest
458;Faible;Ouest
73;Très Fort;Ouest
203;Fort;Ouest
285;Très Fort;Ouest
343;Très Fort;Ouest
383;Fort;Ouest
146;Très Fort;Ouest
169;Moyen;Ouest
211;Fort;Ouest
406;Fort;Ouest
380;Faible;Ouest
188;Moyen;Ouest
163;Moyen;Ouest
192;Très Fort;Ouest
143;Fort;Ouest
427;Fort;Ouest
173;Moyen;Ouest
100;Très Fort;Ouest
509;Très Fort;Ouest
457;Très Fort;Ouest
352;Très Fort;Ouest
390;Très Fort;Ouest
130;Très Fort;Ouest
194;Moyen;Ouest
199;Moyen;Ouest
422;Très Fort;Ouest
333;Très Fort;Ouest
